ticker,spot,strategy,direction,main_strike,exp,entry,target,stop,contracts,risk,confluence_score,confluence_rating,ivr,error
NVDA,196.50999450683594,BULL_CALL_SPREAD,BULLISH,205.0,2026-05-15,1.45,3.21,0.71,3,429.0,10,A+ SETUP,41.9,
AAPL,258.8299865722656,LONG_PUT,BEARISH,255.0,2026-05-15,6.73,13.56,3.39,1,500.0,4,WEAK,54.4,
MSFT,393.1099853515625,LONG_CALL,BULLISH,410.0,2026-05-15,10.63,21.36,5.34,1,500.0,8,STRONG,49.1,
GOOGL,332.9100036621094,LONG_CALL,BULLISH,345.0,2026-05-15,9.33,18.76,4.69,1,500.0,10,A+ SETUP,58.0,
META,662.489990234375,LONG_PUT,BEARISH,650.0,2026-05-15,25.55,51.2,12.8,1,500.0,6,MODERATE,42.3,
AMZN,249.02000427246094,LONG_CALL,BULLISH,260.0,2026-05-15,7.83,15.76,3.94,1,500.0,11,A+ SETUP,53.3,
TSLA,364.20001220703125,LONG_PUT,BEARISH,355.0,2026-05-15,14.68,29.46,7.37,1,500.0,11,A+ SETUP,27.5,
AMD,255.07000732421875,LONG_PUT,BEARISH,250.0,2026-05-15,13.83,27.76,6.94,1,500.0,6,MODERATE,55.6,
CRWD,398.489990234375,BULL_CALL_SPREAD,BULLISH,420.0,2026-05-15,6.28,13.13,3.13,1,500.0,9,STRONG,84.4,
PLTR,135.6999969482422,LONG_PUT,BEARISH,130.0,2026-05-15,6.87,13.84,3.46,1,500.0,7,STRONG,75.0,
COIN,184.41000366210938,BULL_CALL_SPREAD,BULLISH,200.0,2026-05-15,5.04,12.51,2.51,1,500.0,10,A+ SETUP,63.6,
NFLX,106.27999877929688,LONG_STRADDLE,NEUTRAL,110.0,2026-05-08,10.01,19.62,4.9,1,500.0,5,MODERATE,100.0,
MU,465.6600036621094,BEAR_PUT_SPREAD,BEARISH,450.0,2026-05-15,15.06,27.52,7.52,1,500.0,7,STRONG,100.0,
CRM,171.30999755859375,BULL_CALL_SPREAD,BULLISH,180.0,2026-05-15,2.62,6.3,1.3,1,260.0,9,STRONG,100.0,
MSTR,137.41000366210938,LONG_PUT,BEARISH,135.0,2026-05-15,9.3,18.7,4.67,1,500.0,6,MODERATE,54.3,
GS,909.6300048828125,BULL_CALL_SPREAD,BULLISH,935.0,2026-05-15,11.75,23.37,5.87,1,500.0,12,A+ SETUP,99.4,
XOM,149.24000549316406,LONG_CALL,BULLISH,155.0,2026-05-15,3.07,6.24,1.56,1,312.0,8,STRONG,100.0,
GLD,445.0899963378906,LONG_CALL,BULLISH,455.0,2026-05-15,10.33,20.76,5.19,1,500.0,10,A+ SETUP,29.9,
MELI,1840.6600341796875,BULL_CALL_SPREAD,BULLISH,1940.0,2026-05-15,29.17,64.57,14.57,1,500.0,7,STRONG,87.7,
